Nº;Etapa;Mês/Ano;Fase;Período;Data;Ponto;Método;Período de Coleta;Espécie;Nº ind;Ordem;Família;Sub-família;Tribo;Coletor;Observação
1;1;nov/14;Instalação;Chuva;;;;;Aedes albopictus;11;Diptera;Culicidae;Culicinae;Aedini;;
2;1;nov/14;Instalação;Chuva;;;;;Aedes fluviatilis ;9;Diptera;Culicidae;Culicinae;Aedini;;
3;1;nov/14;Instalação;Chuva;;;;;Aedes fulvithorax;2;Diptera;Culicidae;Culicinae;Aedini;;
4;1;nov/14;Instalação;Chuva;;;;;Aedes scapularis;4;Diptera;Culicidae;Culicinae;Aedini;;
5;1;nov/14;Instalação;Chuva;;;;;Aedes serratus;1;Diptera;Culicidae;Culicinae;Aedini;;
6;1;nov/14;Instalação;Chuva;;;;;Anopheles (Anopheles) ssp.;1;Diptera;Culicidae;Anophelinae;Anophelini;;
7;1;nov/14;Instalação;Chuva;;;;;Culex spp.;181;Diptera;Culicidae;Culicinae;Culicini;;
8;1;nov/14;Instalação;Chuva;;;;;Culicoides spp.;30;Diptera;Ceratopogonidae;;;;
9;1;nov/14;Instalação;Chuva;;;;;Haemagogus (Con.) leucocelaenus;7;Diptera;Culicidae;Culicinae;Aedini;;
10;1;nov/14;Instalação;Chuva;;;;;Haemagogus (Hag.) capricornii;15;Diptera;Culicidae;Culicinae;Aedini;;
11;1;nov/14;Instalação;Chuva;;;;;Phlebotominae sp.;9;Diptera;Psychodidae;Phlebotominae;;;
12;1;nov/14;Instalação;Chuva;;;;;Sabethes spp.;4;Diptera;Culicidae;Culicinae;Sabethini;;
13;1;nov/14;Instalação;Chuva;;;;;Simulium spp.;4;Diptera;Simuliidae;Simuliinae;;;
14;2;fev/15;Instalação;Chuva;;;;;Aedes albopictus;19;Diptera;Culicidae;Culicinae;Aedini;;
15;2;fev/15;Instalação;Chuva;;;;;Aedes scapularis;15;Diptera;Culicidae;Culicinae;Aedini;;
16;2;fev/15;Instalação;Chuva;;;;;Culex spp.;124;Diptera;Culicidae;Culicinae;Culicini;;
17;2;fev/15;Instalação;Chuva;;;;;Haemagogus (Con.) leucocelaenus;5;Diptera;Culicidae;Culicinae;Aedini;;
18;2;fev/15;Instalação;Chuva;;;;;Haemagogus (Hag.) capricornii;3;Diptera;Culicidae;Culicinae;Aedini;;
19;2;fev/15;Instalação;Chuva;;;;;Haemagogus (Hag.) spp.;3;Diptera;Culicidae;Culicinae;Aedini;;
20;2;fev/15;Instalação;Chuva;;;;;Phlebotominae sp.;9;Diptera;Psychodidae;Phlebotominae;;;
21;2;fev/15;Instalação;Chuva;;;;;Sabethes spp.;6;Diptera;Culicidae;Culicinae;Sabethini;;
22;2;fev/15;Instalação;Chuva;;;;;Simulium spp.;8;Diptera;Simuliidae;Simuliinae;;;
23;3;mai/15;Instalação;Seca;;;;;Aedes scapularis;4;Diptera;Culicidae;Culicinae;Aedini;;
24;3;mai/15;Instalação;Seca;;;;;Anopheles (Nys.) spp.;2;Diptera;Culicidae;Anophelinae;Anophelini;;
25;3;mai/15;Instalação;Seca;;;;;Culex spp.;128;Diptera;Culicidae;Culicinae;Culicini;;
26;3;mai/15;Instalação;Seca;;;;;Simulium spp.;4;Diptera;Simuliidae;Simuliinae;;;
27;4;ago/15;Instalação;Seca;;;;;Anopheles (Nys.) oswaldoi;1;Diptera;Culicidae;Anophelinae;Anophelini;;
28;4;ago/15;Instalação;Seca;;;;;Culex spp.;190;Diptera;Culicidae;Culicinae;Culicini;;
29;4;ago/15;Instalação;Seca;;;;;Simulium spp.;25;Diptera;Simuliidae;Simuliinae;;;
30;5;nov/15;Instalação;Chuva;;;;;Aedes albopictus;167;Diptera;Culicidae;Culicinae;Aedini;;
31;5;nov/15;Instalação;Chuva;;;;;Aedes fulvithorax;2;Diptera;Culicidae;Culicinae;Aedini;;
32;5;nov/15;Instalação;Chuva;;;;;Culex spp.;767;Diptera;Culicidae;Culicinae;Culicini;;
33;5;nov/15;Instalação;Chuva;;;;;Haemagogus (Con.) leucocelaenus;18;Diptera;Culicidae;Culicinae;Aedini;;
34;5;nov/15;Instalação;Chuva;;;;;Haemagogus (Con.) leucophoebus;7;Diptera;Culicidae;Culicinae;Aedini;;
35;5;nov/15;Instalação;Chuva;;;;;Haemagogus (Con.) spp.;3;Diptera;Culicidae;Culicinae;Aedini;;
36;5;nov/15;Instalação;Chuva;;;;;Limatus spp.;3;Diptera;Culicidae;Culicinae;Aedini;;
37;5;nov/15;Instalação;Chuva;;;;;Psorophora (Jan.) ciliata;1;Diptera;Culicidae;Culicinae;Aedini;;
38;5;nov/15;Instalação;Chuva;;;;;Sabethes spp.;6;Diptera;Culicidae;Culicinae;Sabethini;;
39;5;nov/15;Instalação;Chuva;;;;;Simulium spp.;1;Diptera;Simuliidae;Simuliinae;;;
40;6;mar/16;Operação;Chuva;;;;;Culex spp.;1588;Diptera;Culicidae;Culicinae;Culicini;;
41;6;mar/16;Operação;Chuva;;;;;Culicoides spp.;77;Diptera;Ceratopogonidae;;;;
42;6;mar/16;Operação;Chuva;;;;;Aedes albopictus;11;Diptera;Culicidae;Culicinae;Aedini;;
43;6;mar/16;Operação;Chuva;;;;;Sabethes spp.;5;Diptera;Culicidae;Culicinae;Sabethini;;
44;6;mar/16;Operação;Chuva;;;;;Haemagogus (Con.) leucocelaenus;2;Diptera;Culicidae;Culicinae;Aedini;;
45;6;mar/16;Operação;Chuva;;;;;Aedes scapularis;2;Diptera;Culicidae;Culicinae;Aedini;;
46;6;mar/16;Operação;Chuva;;;;;Psorophora (Jan.) circunflava;2;Diptera;Culicidae;Culicinae;Aedini;;
47;6;mar/16;Operação;Chuva;;;;;Haemagogus (Con.) leucophoebus;1;Diptera;Culicidae;Culicinae;Aedini;;
48;6;mar/16;Operação;Chuva;;;;;Aedes fulvithorax;1;Diptera;Culicidae;Culicinae;Aedini;;
49;6;mar/16;Operação;Chuva;;;;;Psorophora (Jan.) albigenu;2;Diptera;Culicidae;Culicinae;Aedini;;
50;6;mar/16;Operação;Chuva;;;;;Psorophora (Jan.) ferox;1;Diptera;Culicidae;Culicinae;Aedini;;
51;7;jun/16;Operação;Seca;;;;;Culex spp.;148;Diptera;Culicidae;Culicinae;Culicini;;
52;7;jun/16;Operação;Seca;;;;;Culicoides spp.;54;Diptera;Ceratopogonidae;;;;
53;7;jun/16;Operação;Seca;;;;;Aedes albopictus;11;Diptera;Culicidae;Culicinae;Aedini;;
54;7;jun/16;Operação;Seca;;;;;Simulium spp.;33;Diptera;Simuliidae;Simuliinae;;;
55;7;jun/16;Operação;Seca;;;;;Phlebotominae sp.;15;Diptera;Psychodidae;Phlebotominae;;;
56;8;set/16;Operação;Seca;;;;;Culex spp.;152;Diptera;Culicidae;Culicinae;Culicini;;
57;8;set/16;Operação;Seca;;;;;Culicoides spp.;12;Diptera;Ceratopogonidae;;;;
58;8;set/16;Operação;Seca;;;;;Aedes albopictus;15;Diptera;Culicidae;Culicinae;Aedini;;
59;8;set/16;Operação;Seca;;;;;Simulium spp.;20;Diptera;Simuliidae;Simuliinae;;;
60;8;set/16;Operação;Seca;;;;;Phlebotominae sp.;3;Diptera;Psychodidae;Phlebotominae;;;
61;8;set/16;Operação;Seca;;;;;Psorophora (Jan.) circunflava;2;Diptera;Culicidae;Culicinae;Aedini;;
62;8;set/16;Operação;Seca;;;;;Haemagogus (Con.) leucophoebus;1;Diptera;Culicidae;Culicinae;Aedini;;
63;9;dez/16;Operação;Chuva;;;;;Culex spp.;146;Diptera;Culicidae;Culicinae;Culicini;;
64;9;dez/16;Operação;Chuva;;;;;Culicoides spp.;0;Diptera;Ceratopogonidae;;;;
65;9;dez/16;Operação;Chuva;;;;;Aedes albopictus;135;Diptera;Culicidae;Culicinae;Aedini;;
66;9;dez/16;Operação;Chuva;;;;;Simulium spp.;16;Diptera;Simuliidae;Simuliinae;;;
67;9;dez/16;Operação;Chuva;;;;;Phlebotominae sp.;2;Diptera;Psychodidae;Phlebotominae;;;
68;9;dez/16;Operação;Chuva;;;;;Aedes fulvithorax;2;Diptera;Culicidae;Culicinae;Aedini;;
69;9;dez/16;Operação;Chuva;;;;;Psorophora (Jan.) ciliata;2;Diptera;Culicidae;Culicinae;Aedini;;
70;10;mar/17;Operação;Chuva;;;;;Culex spp.;631;Diptera;Culicidae;Culicinae;Culicini;;
71;10;mar/17;Operação;Chuva;;;;;Culicoides spp.;54;Diptera;Ceratopogonidae;;;;
72;10;mar/17;Operação;Chuva;;;;;Aedes albopictus;14;Diptera;Culicidae;Culicinae;Aedini;;
73;10;mar/17;Operação;Chuva;;;;;Simulium spp.;6;Diptera;Simuliidae;Simuliinae;;;
74;10;mar/17;Operação;Chuva;;;;;Sabethes spp.;5;Diptera;Culicidae;Culicinae;Sabethini;;
75;10;mar/17;Operação;Chuva;;;;;Haemagogus (Hag.) capricornii;9;Diptera;Culicidae;Culicinae;Aedini;;
76;10;mar/17;Operação;Chuva;;;;;Haemagogus (Con.) leucocelaenus;5;Diptera;Culicidae;Culicinae;Aedini;;
77;10;mar/17;Operação;Chuva;;;;;Haemagogus (Con.) leucophoebus;1;Diptera;Culicidae;Culicinae;Aedini;;
78;10;mar/17;Operação;Chuva;;;;;Haemagogus (Hag.) spp.;3;Diptera;Culicidae;Culicinae;Aedini;;
79;10;mar/17;Operação;Chuva;;;;;Psorophora (Jan.) ferox;1;Diptera;Culicidae;Culicinae;Aedini;;
80;10;mar/17;Operação;Chuva;;;;;Anopheles (Anopheles) ssp.;1;Diptera;Culicidae;Anophelinae;Anophelini;;
81;11;jun/17;Operação;Seca;;;;;Culex spp.;155;Diptera;Culicidae;Culicinae;Culicini;;
82;11;jun/17;Operação;Seca;;;;;Culicoides spp.;33;Diptera;Ceratopogonidae;;;;
83;11;jun/17;Operação;Seca;;;;;Aedes albopictus;13;Diptera;Culicidae;Culicinae;Aedini;;
84;11;jun/17;Operação;Seca;;;;;Simulium spp.;21;Diptera;Simuliidae;Simuliinae;;;
85;11;jun/17;Operação;Seca;;;;;Phlebotominae sp.;9;Diptera;Psychodidae;Phlebotominae;;;
86;11;jun/17;Operação;Seca;;;;;Aedes scapularis;4;Diptera;Culicidae;Culicinae;Aedini;;
87;11;jun/17;Operação;Seca;;;;;Psorophora (Jan.) circunflava;2;Diptera;Culicidae;Culicinae;Aedini;;
88;11;jun/17;Operação;Seca;;;;;Haemagogus (Con.) leucophoebus;1;Diptera;Culicidae;Culicinae;Aedini;;
89;11;jun/17;Operação;Seca;;;;;Anopheles (Nys.) spp.;2;Diptera;Culicidae;Anophelinae;Anophelini;;
90;11;jun/17;Operação;Seca;;;;;Anopheles (Nys.) oswaldoi;1;Diptera;Culicidae;Anophelinae;Anophelini;;
91;14;mar/18;Operação;Chuva;23/03/2018;1;Sugador/Puçá;noturno;Psorophora (Jan.) ferox;1;Diptera;Culicidae;Culicinae;Aedini;;
92;14;mar/18;Operação;Chuva;23/03/2018;1;Sugador/Puçá;noturno;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;;
93;14;mar/18;Operação;Chuva;23/03/2018;1;Sugador/Puçá;noturno;Aedes albopictus;1;Diptera;Culicidae;Culicinae;Aedini;;
94;14;mar/18;Operação;Chuva;23/03/2018;1;CDC;noturno;Culex spp.;2;Diptera;Culicidae;Culicinae;Culicini;;
95;14;mar/18;Operação;Chuva;26/03/2018;2;Sugador/Puçá;noturno;Culex spp.;52;Diptera;Culicidae;Culicinae;Culicini;;
96;14;mar/18;Operação;Chuva;24/03/2018;3;Sugador/Puçá;matutino;Culex spp.;1;Diptera;Culicidae;Culicinae;Culicini;;
97;14;mar/18;Operação;Chuva;24/03/2018;3;Sugador/Puçá;matutino;Aedes fluviatilis ;2;Diptera;Culicidae;Culicinae;Aedini;;
98;14;mar/18;Operação;Chuva;24/03/2018;3;Sugador/Puçá;noturno;Aedes fluviatilis ;3;Diptera;Culicidae;Culicinae;Aedini;;
99;14;mar/18;Operação;Chuva;24/03/2018;4;CDC;noturno;Culex spp.;1;Diptera;Culicidae;Culicinae;Culicini;;
100;14;mar/18;Operação;Chuva;24/03/2018;4;Sugador/Puçá;noturno;Culex spp.;70;Diptera;Culicidae;Culicinae;Culicini;;
101;14;mar/18;Operação;Chuva;27/03/2018;5;Sugador/Puçá;matutino;Aedes albopictus;16;Diptera;Culicidae;Culicinae;Aedini;;
102;14;mar/18;Operação;Chuva;27/03/2018;5;Sugador/Puçá;matutino;Haemagogus (Con.) leucocelaenus;1;Diptera;Culicidae;Culicinae;Aedini;;
103;14;mar/18;Operação;Chuva;27/03/2018;5;Sugador/Puçá;matutino;Culex spp.;21;Diptera;Culicidae;Culicinae;Culicini;;
104;14;mar/18;Operação;Chuva;23/03/2018;1;Sugador/Puçá;noturno;Culex spp.;30;Diptera;Culicidae;Culicinae;Culicini;;
105;14;mar/18;Operação;Chuva;26/03/2018;2;Sugador/Puçá;noturno;Culicoides spp.;63;Diptera;Ceratopogonidae;;;;
106;14;mar/18;Operação;Chuva;26/03/2018;2;Sugador/Puçá;noturno;Simulium spp.;52;Diptera;Simuliidae;Simuliinae;;;
107;15;jun/18;Operação;Seca;22/06/2018;1;Sugador/Puçá;noturno;Mansonia spp.;5;Diptera;Culicidae;Culicinae;Mansoninii;;
108;15;jun/18;Operação;Seca;21/06/2018;4;CDC;noturno;Uranotenia spp.;1;Diptera;Culicidae;Culicinae;Uranotaeniini;;
109;15;jun/18;Operação;Seca;21/06/2018;3;Sugador/Puçá;noturno;Culex spp.;3;Diptera;Culicidae;Culicinae;Culicini;;
110;15;jun/18;Operação;Seca;21/06/2018;3;Sugador/Puçá;noturno;Mansonia spp.;2;Diptera;Culicidae;Culicinae;Mansoninii;;
111;15;jun/18;Operação;Seca;23/06/2018;5;Sugador/Puçá;noturno;Aedes scapularis;4;Diptera;Culicidae;Culicinae;Aedini;;
112;15;jun/18;Operação;Seca;23/06/2018;5;Sugador/Puçá;noturno;Culex spp.;17;Diptera;Culicidae;Culicinae;Culicini;;
113;15;jun/18;Operação;Seca;23/06/2018;5;Sugador/Puçá;noturno;Culicoides spp.;3;Diptera;Ceratopogonidae;;;;
114;15;jun/18;Operação;Seca;22/06/2018;2;Sugador/Puçá;noturno;Simulium spp.;4;Diptera;Simuliidae;Simuliinae;;;
115;15;jun/18;Operação;Seca;22/06/2018;2;Sugador/Puçá;noturno;Aedes scapularis;2;Diptera;Culicidae;Culicinae;Aedini;;
116;15;jun/18;Operação;Seca;21/06/2018;4;Sugador/Puçá;noturno;Culex spp.;30;Diptera;Culicidae;Culicinae;Culicini;;
117;15;jun/18;Operação;Seca;22/06/2018;2;Sugador/Puçá;noturno;Culex spp.;70;Diptera;Culicidae;Culicinae;Culicini;;
118;15;jun/18;Operação;Seca;22/06/2018;2;Sugador/Puçá;noturno;Culicoides spp.;26;Diptera;Ceratopogonidae;;;;
119;15;jun/18;Operação;Seca;22/06/2018;2;Sugador/Puçá;noturno;Simulium spp.;36;Diptera;Simuliidae;Simuliinae;;;
120;16;nov/18;Operação;Chuva;17/11/2018;1;Sugador/Puçá;matutino;Psorophora (Jan.) ferox;1;Diptera;Culicidae;Culicinae;Aedini;;
121;16;nov/18;Operação;Chuva;17/11/2018;2;Sugador/Puçá;noturno;Aedes albopictus;3;Diptera;Culicidae;Culicinae;Aedini;;
122;16;nov/18;Operação;Chuva;17/11/2018;2;Sugador/Puçá;noturno;Psorophora (Jan.) ferox;2;Diptera;Culicidae;Culicinae;Aedini;;
123;16;nov/18;Operação;Chuva;19/11/2018;3;Sugador/Puçá;matutino;Psorophora (Janthinossoma) albipes;2;Diptera;Culicidae;Culicinae;Aedini;;
124;16;nov/18;Operação;Chuva;18/11/2018;3;Sugador/Puçá;noturno;aedes scapularis;3;Diptera;Culicidae;Culicinae;Aedini;;
125;16;nov/18;Operação;Chuva;18/11/2018;3;Sugador/Puçá;noturno;Culex spp.;31;Diptera;Culicidae;Culicinae;Culicini;;
126;16;nov/18;Operação;Chuva;18/11/2018;3;Sugador/Puçá;noturno;Psorophora (Jan.) ferox;11;Diptera;Culicidae;Culicinae;Aedini;;
127;16;nov/18;Operação;Chuva;18/11/2018;3;Sugador/Puçá;noturno;Psorophora (Janthinossoma) albipes;5;Diptera;Culicidae;Culicinae;Aedini;;
128;16;nov/18;Operação;Chuva;15/11/2018;5;Sugador/Puçá;noturno;Culex spp.;52;Diptera;Culicidae;Culicinae;Culicini;;
129;16;nov/18;Operação;Chuva;15/11/2018;5;Sugador/Puçá;noturno;Aedes scapularis;2;Diptera;Culicidae;Culicinae;Aedini;;
130;16;nov/18;Operação;Chuva;15/11/2018;5;Sugador/Puçá;noturno;Aedes albopictus;2;Diptera;Culicidae;Culicinae;Aedini;;
131;16;nov/18;Operação;Chuva;16/11/2018;5;Sugador/Puçá;matutino;Aedes albopictus;1;Diptera;Culicidae;Culicinae;Aedini;;
132;16;nov/18;Operação;Chuva;16/11/2018;5;Sugador/Puçá;matutino;Sabethes (Sabethes) albiprivus;1;Diptera;Culicidae;Culicinae;Sabethini;;
133;16;nov/18;Operação;Chuva;18/11/2018;4;Sugador/Puçá;noturno;Aedes fulvithorax;1;Diptera;Culicidae;Culicinae;Aedini;;
134;16;nov/18;Operação;Chuva;18/11/2018;4;Sugador/Puçá;noturno;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;;
135;16;nov/18;Operação;Chuva;18/11/2018;4;Sugador/Puçá;noturno;Aedes albopictus;1;Diptera;Culicidae;Culicinae;Aedini;;
136;16;nov/18;Operação;Chuva;18/11/2018;4;Sugador/Puçá;noturno;Aedes serratus;1;Diptera;Culicidae;Culicinae;Aedini;;
137;16;nov/18;Operação;Chuva;18/11/2018;4;Sugador/Puçá;noturno;Psorophora (Jan.) ferox;2;Diptera;Culicidae;Culicinae;Aedini;;
138;16;nov/18;Operação;Chuva;18/11/2018;4;Sugador/Puçá;noturno;Culex spp.;70;Diptera;Culicidae;Culicinae;Culicini;;
139;16;nov/18;Operação;Chuva;17/11/2018;2;Sugador/Puçá;noturno;Culicoides spp.;23;Diptera;Ceratopogonidae;;;;
140;16;nov/18;Operação;Chuva;18/11/2018;2;Sugador/Puçá;matutino;Simulium spp.;65;Diptera;Simuliidae;Simuliinae;;;
141;17;fev/19;Operação;Chuva;17/02/2019;3;Sugador/Puçá;noturno;Aedes scapularis;1;Diptera;Culicidae;Culicinae;Aedini;;
142;17;fev/19;Operação;Chuva;17/02/2019;3;Sugador/Puçá;noturno;Aedes albopictus;1;Diptera;Culicidae;Culicinae;Aedini;;
143;17;fev/19;Operação;Chuva;16/02/2019;1;Sugador/Puçá;matutino;Sabethes (Sabethes) albiprivus;1;Diptera;Culicidae;Culicinae;Sabethini;;
144;17;fev/19;Operação;Chuva;15/02/2019;2;Sugador/Puçá;noturno;Aedes albopictus;5;Diptera;Culicidae;Culicinae;Aedini;;
145;17;fev/19;Operação;Chuva;15/02/2019;2;Sugador/Puçá;noturno;Simulium spp.;23;Diptera;Simuliidae;Simuliinae;;;
146;17;fev/19;Operação;Chuva;19/02/2018;4;Sugador/Puçá;matutino;Sabethes (Sabethes) albiprivus;2;Diptera;Culicidae;Culicinae;Sabethini;;
147;17;fev/19;Operação;Chuva;17/02/2019;5;Sugador/Puçá;matutino;Sabethes (Sabethes) albiprivus;2;Diptera;Culicidae;Culicinae;Sabethini;;
148;17;fev/19;Operação;Chuva;17/02/2019;5;Sugador/Puçá;matutino;Aedes albopictus;2;Diptera;Culicidae;Culicinae;Aedini;;
149;17;fev/19;Operação;Chuva;17/02/2019;5;Sugador/Puçá;matutino;Simulium spp.;32;Diptera;Simuliidae;Simuliinae;;;
150;17;fev/19;Operação;Chuva;17/02/2019;5;Sugador/Puçá;matutino;Haemagogus (Con.) leucocelaenus;2;Diptera;Culicidae;Culicinae;Aedini;;
151;17;fev/19;Operação;Chuva;18/02/2019;4;Sugador/Puçá;noturno;Culex spp.;35;Diptera;Culicidae;Culicinae;Culicini;;
152;17;fev/19;Operação;Chuva;15/02/2019;2;Sugador/Puçá;noturno;Culex spp.;25;Diptera;Culicidae;Culicinae;Culicini;;
153;17;fev/19;Operação;Chuva;16/02/2019;1;Sugador/Puçá;noturno;Culex spp.;35;Diptera;Culicidae;Culicinae;Culicini;;
154;17;fev/19;Operação;Chuva;18/02/2019;4;Sugador/Puçá;noturno;Culicoides spp.;48;Diptera;Ceratopogonidae;;;;
155;17;fev/19;Operação;Chuva;16/02/2019;2;Sugador/Puçá;matutino;Simulium spp.;42;Diptera;Simuliidae;Simuliinae;;;
156;18;mai/19;Operação;Seca;mai/19;3;Sugador/Puçá;noturno;Mansonia spp.;8;Diptera;Culicidae;Culicinae;Mansoninii;;
157;18;mai/19;Operação;Seca;mai/19;4;Sugador/Puçá;noturno;Culex spp.;52;Diptera;Culicidae;Culicinae;Culicini;;
158;18;mai/19;Operação;Seca;mai/19;4;Sugador/Puçá;noturno;Culicoides spp.;146;Diptera;Ceratopogonidae;;;;
159;18;mai/19;Operação;Seca;mai/19;2;Sugador/Puçá;noturno;Simulium spp.;42;Diptera;Simuliidae;Simuliinae;;;
160;18;mai/19;Operação;Seca;mai/19;3;Sugador/Puçá;noturno;Aedes scapularis;11;Diptera;Culicidae;Culicinae;Aedini;;
161;18;mai/19;Operação;Seca;mai/19;1;Sugador/Puçá;matutino;Aedes albopictus;14;Diptera;Culicidae;Culicinae;Aedini;;
162;18;mai/19;Operação;Seca;mai/19;5;Sugador/Puçá;matutino;Psorophora (Jan.) ferox;6;Diptera;Culicidae;Culicinae;Aedini;;
163;18;mai/19;Operação;Seca;mai/19;5;Sugador/Puçá;matutino;Haemagogus (Con.) leucocelaenus;4;Diptera;Culicidae;Culicinae;Aedini;;
164;19;ago/19;Operação;Seca;24/08/2019;1;Sugador/Puçá;matutino;Simulium spp.;21;Diptera;Simuliidae;Simuliinae;;;
165;19;ago/19;Operação;Seca;24/08/2019;1;Sugador/Puçá;matutino;Culicoides spp.;18;Diptera;Ceratopogonidae;;;;
166;19;ago/19;Operação;Seca;24/08/2019;1;Sugador/Puçá;matutino;Aedes albopictus;5;Diptera;Culicidae;Culicinae;Aedini;;
167;19;ago/19;Operação;Seca;24/08/2019;2;Sugador/Puçá;matutino;Simulium spp.;17;Diptera;Simuliidae;Simuliinae;;;
168;19;ago/19;Operação;Seca;24/08/2019;2;Sugador/Puçá;matutino;Culicoides spp.;12;Diptera;Ceratopogonidae;;;;
169;19;ago/19;Operação;Seca;24/08/2019;2;Sugador/Puçá;matutino;Aedes albopictus;2;Diptera;Culicidae;Culicinae;Aedini;;
170;19;ago/19;Operação;Seca;24/08/2019;2;Sugador/Puçá;matutino;Culex spp.;15;Diptera;Culicidae;Culicinae;Culicini;;
171;19;ago/19;Operação;Seca;23/08/2019;2;Sugador/Puçá;noturno;Simulium spp.;18;Diptera;Simuliidae;Simuliinae;;;
